topic,Node-topic,term,beta,x,y
1,1,virtual,0.150296977,60,36
1,1,events,0.059267673,-737,67
1,1,online,0.038340376,-726,-174
1,1,event,0.034983271,-678,286
1,1,learn,0.025135585,-632,-372
1,1,join,0.023964645,-569,486
1,1,info,0.01961039,-558,-76
1,1,jan,0.018933511,-520,138
1,1,goals,0.018620868,-500,-538
1,1,inperson,0.016749576,-450,-271
2,2,events,0.159311665,-435,340
2,2,event,0.110693288,-389,591
2,2,virtual,0.065691844,-356,-53
2,2,card,0.0408499,-320,378
2,2,business,0.035366792,-314,-469
2,2,network,0.024490219,-308,-559
2,2,build,0.022266097,-302,650
2,2,professional,0.019455697,-296,-740
2,2,hybrid,0.019138461,-290,345
2,2,woo,0.017987142,-284,-421
3,3,virtual,0.209089331,-278,576
3,3,event,0.073638739,-272,-86
3,3,live,0.040382,-266,250
3,3,learn,0.027561047,-260,-420
3,3,hybrid,0.02650944,-254,-350
3,3,check,0.02251932,-248,680
3,3,platform,0.019569028,-242,710
3,3,join,0.019196984,-236,-67
3,3,media,0.018970539,-230,175
3,3,host,0.018809953,-224,240
4,4,happy,0.059948687,-218,-83
4,4,event,0.05065349,-212,149
4,4,virtual,0.035803644,-206,-548
4,4,team,0.032921212,-200,-169
4,4,events,0.025115225,-194,478
4,4,top,0.02201173,-188,586
4,4,info,0.019305746,-182,-72
4,4,list,0.017861954,-176,186
4,4,blog,0.016807675,-170,-435
4,4,attendees,0.014897924,-164,-376
5,5,events,0.071191786,-158,274
5,5,event,0.044208012,-152,482
5,5,share,0.02642175,-146,-61
5,5,christmas,0.026139209,-140,234
5,5,blog,0.026135394,-134,-672
5,5,virtual,0.02610263,-128,-167
5,5,post,0.023935556,-122,574
5,5,platform,0.022157203,-116,-81
5,5,love,0.021876638,-110,275
5,5,reach,0.019748275,-104,-152
